Politician,Company,Published,Traded,Owner,Type,Size,Price of Stock
Laurel LeeRepublicanHouseFL,Apple IncAAPL:US,22 Nov2024,7 Oct2024,Spouse,buy,15K–50K,$221.69
Laurel LeeRepublicanHouseFL,GE VERNOVA INCGEV:US,22 Nov2024,8 Nov2024,Spouse,sell,15K–50K,$341.18
Laurel LeeRepublicanHouseFL,Pfizer IncPFE:US,22 Nov2024,21 Oct2024,Spouse,buy,15K–50K,$28.93
Laurel LeeRepublicanHouseFL,TUHURA BIOSCIENCES INCHURA:US,22 Nov2024,18 Oct2024,Spouse,receive,100K–250K,N/A
Marjorie Taylor GreeneRepublicanHouseGA,AbbVie IncABBV:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$167.76
Marjorie Taylor GreeneRepublicanHouseGA,Adobe IncADBE:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$499.50
Marjorie Taylor GreeneRepublicanHouseGA,Amazon.com IncAMZN:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$202.88
Marjorie Taylor GreeneRepublicanHouseGA,Applied Materials IncAMAT:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$170.49
Marjorie Taylor GreeneRepublicanHouseGA,"Nestle SA, Cham Und VeveyNSRGY:US",22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$86.42
Marjorie Taylor GreeneRepublicanHouseGA,Occidental Petroleum CorpOXY:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$50.91
Marjorie Taylor GreeneRepublicanHouseGA,QUALCOMM IncQCOM:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$154.27
Marjorie Taylor GreeneRepublicanHouseGA,Southern Copper CorpSCCO:US,22 Nov2024,20 Nov2024,Undisclosed,buy,1K–15K,$103.00
Marjorie Taylor GreeneRepublicanHouseGA,US TREASURY BILLSN/A,22 Nov2024,20 Nov2024,Undisclosed,buy,50K–100K,N/A
Suzan DelBeneDemocratHouseWA,COLORADO HEALTH FACILITIES AUTHORITYN/A,22 Nov2024,6 Nov2024,Joint,buy,15K–50K,N/A
Suzan DelBeneDemocratHouseWA,NORTH DAKOTA HOUSING FINANCE AGENCYN/A,22 Nov2024,5 Nov2024,Joint,buy,15K–50K,N/A
Suzan DelBeneDemocratHouseWA,TEXAS TRANSPORTATION COMMISSIONN/A,22 Nov2024,4 Nov2024,Joint,buy,1K–15K,N/A
Jake AuchinclossDemocratHouseMA,State Street CorporationSTT:US,22 Nov2024,18 Nov2024,Spouse,sell,15K–50K,$96.12
Tina SmithDemocratSenateMN,Tactile Systems Technology IncTCMD:US,21 Nov2024,12 Nov2024,Spouse,buy,50K–100K,$15.75
Debbie Wasserman SchultzDemocratHouseFL,Baxter International IncBAX:US,21 Nov2024,18 Nov2024,Child,buy,1K–15K,$33.02
Debbie Wasserman SchultzDemocratHouseFL,New Gold IncNGD:US,21 Nov2024,18 Nov2024,Child,sell,1K–15K,$2.67
Debbie Wasserman SchultzDemocratHouseFL,Patterson-UTI Energy IncPTEN:US,21 Nov2024,23 Oct2024,Child,buy,1K–15K,$7.80
Debbie Wasserman SchultzDemocratHouseFL,ViaSat IncVSAT:US,21 Nov2024,23 Oct2024,Child,buy,1K–15K,$10.29
Rick ScottRepublicanSenateFL,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT AND POWER DISTRICTN/A,20 Nov2024,23 Oct2024,Spouse,sell,500K–1M,N/A
Rick ScottRepublicanSenateFL,SAN ANTONIO TEXAS ELECTRICITY & GASN/A,20 Nov2024,24 Oct2024,Spouse,sell,250K–500K,N/A
Scott PetersDemocratHouseCA,COUNTY OF ORANGE CALIFORNIAN/A,18 Nov2024,15 Oct2024,Spouse,sell,50K–100K,N/A
Scott PetersDemocratHouseCA,PUBLIC UTILITIES COMMISSION OF CITY AND COUNTY OF SAN FRANCISCON/A,18 Nov2024,1 Oct2024,Spouse,sell,500K–1M,N/A
Max MillerRepublicanHouseOH,AIX VENTURES FUND II LPN/A,18 Nov2024,1 Nov2024,Undisclosed,buy,1K–15K,N/A
Kevin HernRepublicanHouseOK,McDonald's CorpMCD:US,18 Nov2024,29 Oct2024,Joint,buy,100K–250K,$295.00
Kevin HernRepublicanHouseOK,US TREASURY BILLSN/A,18 Nov2024,3 Oct2024,Joint,sell,100K–250K,N/A
Kevin HernRepublicanHouseOK,US TREASURY BILLSN/A,18 Nov2024,3 Oct2024,Joint,sell,1M–5M,N/A
Tommy TubervilleRepublicanSenateAL,Adobe IncADBE:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$485.39
Tommy TubervilleRepublicanSenateAL,Apple IncAAPL:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$233.67
Tommy TubervilleRepublicanSenateAL,Corteva IncCTVA:US,15 Nov2024,29 Oct2024,Joint,sell,1K–15K,$60.79
Tommy TubervilleRepublicanSenateAL,Honeywell International IncHON:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$205.98
Tommy TubervilleRepublicanSenateAL,Johnson & JohnsonJNJ:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$160.09
Tommy TubervilleRepublicanSenateAL,Kimberly-Clark CorpKMB:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$134.51
Tommy TubervilleRepublicanSenateAL,McDonald's CorpMCD:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$295.00
Tommy TubervilleRepublicanSenateAL,Microsoft CorpMSFT:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$431.95
Tommy TubervilleRepublicanSenateAL,"Nestle SA, Cham Und VeveyNSRGY:US",15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$95.64
Tommy TubervilleRepublicanSenateAL,Otis Worldwide CorpOTIS:US,15 Nov2024,29 Oct2024,Joint,sell,1K–15K,$101.37
Tommy TubervilleRepublicanSenateAL,Owens CorningOC:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$180.96
Tommy TubervilleRepublicanSenateAL,The Travelers Companies IncTRV:US,15 Nov2024,29 Oct2024,Joint,sell,15K–50K,$248.67
Greg LandsmanDemocratHouseOH,Amazon.com IncAMZN:US,15 Nov2024,15 Oct2024,Joint,sell,15K–50K,$187.69
Greg LandsmanDemocratHouseOH,Amazon.com IncAMZN:US,15 Nov2024,15 Oct2024,Spouse,sell,15K–50K,$187.69
Greg LandsmanDemocratHouseOH,Cheniere Energy IncLNG:US,15 Nov2024,15 Oct2024,Spouse,sell,1K–15K,$183.79
Greg LandsmanDemocratHouseOH,CrowdStrike Holdings IncCRWD:US,15 Nov2024,15 Oct2024,Spouse,sell,1K–15K,$302.31
Greg LandsmanDemocratHouseOH,Diamondback Energy IncFANG:US,15 Nov2024,15 Oct2024,Spouse,sell,15K–50K,$179.77
Greg LandsmanDemocratHouseOH,Exxon Mobil CorpXOM:US,15 Nov2024,15 Oct2024,Joint,sell,15K–50K,$120.35
Greg LandsmanDemocratHouseOH,Linde PLCLIN:US,15 Nov2024,15 Oct2024,Spouse,sell,1K–15K,$480.71
Greg LandsmanDemocratHouseOH,NextEra Energy IncNEE:US,15 Nov2024,15 Oct2024,Spouse,sell,1K–15K,$82.79
Greg LandsmanDemocratHouseOH,NextEra Energy IncNEE:US,15 Nov2024,15 Oct2024,Joint,sell,1K–15K,$82.79
Greg LandsmanDemocratHouseOH,Pfizer IncPFE:US,15 Nov2024,15 Oct2024,Joint,sell,1K–15K,$29.44
Greg LandsmanDemocratHouseOH,Phillips 66PSX:US,15 Nov2024,15 Oct2024,Joint,sell,15K–50K,$131.40
Greg LandsmanDemocratHouseOH,Regeneron Pharmaceuticals IncREGN:US,15 Nov2024,15 Oct2024,Spouse,sell,1K–15K,"$1,016.53"
Rick AllenRepublicanHouseGA,US TREASURY BILLSN/A,15 Nov2024,9 Oct2024,Spouse,buy,100K–250K,N/A
Gary PetersDemocratSenateMI,Leggett & Platt IncLEG:US,14 Nov2024,31 Oct2024,Self,sell,1K–15K,$12.00
Gary PetersDemocratSenateMI,Lamb Weston Holdings IncLW:US,14 Nov2024,31 Oct2024,Self,sell,1K–15K,$77.69
Gary PetersDemocratSenateMI,Invesco LtdIVZ:US,14 Nov2024,17 Oct2024,Self,sell,1K–15K,$18.28
Chellie PingreeDemocratHouseME,US TREASURY NOTEN/A,14 Nov2024,9 Oct2024,Undisclosed,sell,15K–50K,N/A
Morgan McGarveyDemocratHouseKY,Tesla IncTSLA:US,14 Nov2024,25 Oct2024,Spouse,buy,1K–15K,$269.19
Michael McCaulRepublicanHouseTX,STATE OF NORTH CAROLINAN/A,14 Nov2024,15 Oct2024,Spouse,buy,250K–500K,N/A
Michael McCaulRepublicanHouseTX,Public Power Generation AgencyN/A,14 Nov2024,9 Oct2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,CITY OF COLUMBUS OHION/A,14 Nov2024,29 Oct2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,MISSOURI PUBLIC UTILITIES COMMISSIONN/A,14 Nov2024,17 Oct2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,DORMITORY AUTHORITY OF THE STATE OF NEW YORKN/A,14 Nov2024,18 Oct2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,CITY OF ATLANTAN/A,14 Nov2024,2 Oct2024,Spouse,buy,100K–250K,N/A
Michael McCaulRepublicanHouseTX,STATE OF ILLINOISN/A,14 Nov2024,21 Oct2024,Spouse,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,NORTH TEXAS TOLLWAY AUTHORITYN/A,14 Nov2024,23 Oct2024,Spouse,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,London Stock Exchange Group PLCLDNXF:US,14 Nov2024,22 Oct2024,Spouse,buy,50K–100K,$137.80
Michael McCaulRepublicanHouseTX,DEPARTMENT OF TRANSPORTATION OF MARYLANDN/A,14 Nov2024,10 Oct2024,Spouse,buy,50K–100K,N/A
Michael McCaulRepublicanHouseTX,Workday IncWDAY:US,14 Nov2024,25 Oct2024,Spouse,buy,50K–100K,$237.71
Michael McCaulRepublicanHouseTX,ConocoPhillipsCOP:US,14 Nov2024,24 Oct2024,Spouse,buy,50K–100K,$104.37
Michael McCaulRepublicanHouseTX,Advanced Micro Devices IncAMD:US,14 Nov2024,31 Oct2024,Spouse,buy,50K–100K,$144.07
Michael McCaulRepublicanHouseTX,Workday IncWDAY:US,14 Nov2024,3 Oct2024,Spouse,buy,15K–50K,$240.94
Michael McCaulRepublicanHouseTX,BUILDGROUP LLCN/A,14 Nov2024,21 Oct2024,Spouse,buy,15K–50K,N/A
Michael McCaulRepublicanHouseTX,FirstCash Holdings IncFCFS:US,14 Nov2024,30 Oct2024,Spouse,buy,15K–50K,$105.43
Michael McCaulRepublicanHouseTX,Novo Nordisk A/SNVO:US,14 Nov2024,31 Oct2024,Spouse,buy,15K–50K,$111.95
Michael McCaulRepublicanHouseTX,Dynatrace IncDT:US,14 Nov2024,25 Oct2024,Spouse,buy,15K–50K,$54.07
Michael McCaulRepublicanHouseTX,Fortinet IncFTNT:US,14 Nov2024,25 Oct2024,Spouse,buy,15K–50K,$80.34
Michael McCaulRepublicanHouseTX,NEW YORK STATE HOUSING FINANCE AGENCYN/A,14 Nov2024,24 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,14 Nov2024,9 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,MAYS ALLOCATE LPN/A,14 Nov2024,21 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITYN/A,14 Nov2024,18 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,SOUTH CAROLINA JOBS ECONOMIC DEVELOPMENT AUTHORITYN/A,14 Nov2024,18 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,SAN ANTONIO TEXAS ELECTRICITY & GASN/A,14 Nov2024,9 Oct2024,Spouse,buy,1K–15K,N/A
Michael McCaulRepublicanHouseTX,OHIO STATE UNIVERSITYN/A,14 Nov2024,7 Oct2024,Spouse,sell,15K–50K,N/A
Michael McCaulRepublicanHouseTX,ASML Holding NVASML:US,14 Nov2024,25 Oct2024,Spouse,sell,15K–50K,$711.70
Michael McCaulRepublicanHouseTX,Applied Industrial Technologies IncAIT:US,14 Nov2024,28 Oct2024,Spouse,sell,15K–50K,$233.39
